UC Campus,CC,Requirement group ID,Set ID,Num required from set,UC Course Requirement,Courses Group 1,Courses Group 2,Courses Group 3,Courses Group 4
University of California San Diego,MiraCosta College,A,A,1,CSE 30 - Computer Organization and Systems Programming,CS 220 - Computer Architecture and Assembly Language,,,
University of California San Diego,MiraCosta College,A,A,1,MATH 18 - Linear Algebra,MATH 270 - Linear Algebra,MATH 270H - Linear Algebra (Honors),,
University of California San Diego,MiraCosta College,A,A,1,MATH 20A - Calculus for Science and Engineering,MATH 150 - Calculus and Analytic Geometry I,MATH 150H - Calculus and Analytic Geometry I (Honors),,
University of California San Diego,MiraCosta College,A,A,1,MATH 20B - Calculus for Science and Engineering,MATH 155 - Calculus and Analytic Geometry II,MATH 155H - Calculus and Analytical Geometry II (Honors),,
University of California San Diego,MiraCosta College,A,A,1,MATH 20C - Calculus and Analytic Geometry for Science and Engineering,MATH 260 - Calculus and Analytic Geometry III,MATH 260H - Calculus and Analytic Geometry III (Honors),,
University of California San Diego,MiraCosta College,A,A,1,BILD 1 - The Cell,"BIO 202 - Foundations of Biology: Evolution, Biodiversity and Organismal Biology & BIO 204 - Foundations of Biology: Biochemistry, Cell Biology, Genetics and Molecular Biology","BIO 202 - Foundations of Biology: Evolution, Biodiversity and Organismal Biology & BIO 204H - Foundations of Biology: Biochemistry, Cell Biology, Genetics, and Molecular Biology(Honors)",,
University of California San Diego,MiraCosta College,A,A,1,BILD 2 - Multicellular Life,"BIO 202 - Foundations of Biology: Evolution, Biodiversity and Organismal Biology & BIO 204 - Foundations of Biology: Biochemistry, Cell Biology, Genetics and Molecular Biology","BIO 202 - Foundations of Biology: Evolution, Biodiversity and Organismal Biology & BIO 204H - Foundations of Biology: Biochemistry, Cell Biology, Genetics, and Molecular Biology(Honors)",,
University of California San Diego,MiraCosta College,A,A,1,BILD 3 - Organismic and Evolutionary Biology,"BIO 202 - Foundations of Biology: Evolution, Biodiversity and Organismal Biology & BIO 204 - Foundations of Biology: Biochemistry, Cell Biology, Genetics and Molecular Biology","BIO 202 - Foundations of Biology: Evolution, Biodiversity and Organismal Biology & BIO 204H - Foundations of Biology: Biochemistry, Cell Biology, Genetics, and Molecular Biology(Honors)",,
University of California San Diego,MiraCosta College,A,A,1,CHEM 6A - General Chemistry I,CHEM 150 - General Chemistry I: For Science Majors,CHEM 150H - General Chemistry I : For Science Majors (Honors),,
University of California San Diego,MiraCosta College,A,A,1,CHEM 6B - General Chemistry II,CHEM 150 - General Chemistry I: For Science Majors & CHEM 151 - General Chemistry II: For Science Majors,CHEM 150H - General Chemistry I : For Science Majors (Honors) & CHEM 151H - General Chemistry II : For Science Majors (Honors),,
University of California San Diego,MiraCosta College,A,A,1,PHYS 2A - Physics - Mechanics,PHYS 151 - Principles of Physics I,PHYS 151H - Principles of Physics I (Honors),,
University of California San Diego,MiraCosta College,A,A,1,PHYS 2B - Physics - Electricity and Magnetism,PHYS 152 - Principles of Physics II,PHYS 152H - Principles of Physics II (Honors),,
University of California San Diego,MiraCosta College,A,A,1,PHYS 4A - Physics for Physics Majors—Mechanics,Not Articulated,,,
University of California San Diego,MiraCosta College,A,A,1,"PHYS 4B - Physics for Physics Majors—Fluids, Waves, Statistical and Thermal Physics",Not Articulated,,,
University of California Santa Barbara,MiraCosta College,A,A,1,"MATH 3A - Calculus with Applications, First Course",MATH 150 - Calculus and Analytic Geometry I,MATH 150H - Calculus and Analytic Geometry I (Honors),MATH 150S - Calculus and  Analytic Geometry I with Integrated Support,
University of California Santa Barbara,MiraCosta College,A,A,1,"MATH 3B - Calculus with Applications, Second Course",MATH 155 - Calculus and Analytic Geometry II,MATH 155H - Calculus and Analytical Geometry II (Honors),,
University of California Santa Barbara,MiraCosta College,A,A,1,MATH 4A - Linear Algebra with Applications,MATH 270 - Linear Algebra,MATH 270H - Linear Algebra (Honors),,
University of California Santa Barbara,MiraCosta College,A,A,1,MATH 4B - Differential Equations,MATH 265 - Differential Equations,MATH 265H - Differential Equations (Honors),,
University of California Santa Barbara,MiraCosta College,A,A,1,CMPSC 16 - Problem Solving with Computers I,CS 150 - C++ Programming,,,
University of California Santa Barbara,MiraCosta College,A,A,1,CMPSC 24 - Problem Solving with Computers II,CS 113 - Basic Data Structures and Algorithms & CS 151 - Advanced C++ Programming,,,
